source,result,postal_code,country,country_iso_code,federal_district,region_fias_id,region_kladr_id,region_iso_code,region_with_type,region_type,region_type_full,region,area_fias_id,area_kladr_id,area_with_type,area_type,area_type_full,area,city_fias_id,city_kladr_id,city_with_type,city_type,city_type_full,city,city_area,city_district_fias_id,city_district_kladr_id,city_district_with_type,city_district_type,city_district_type_full,city_district,settlement_fias_id,settlement_kladr_id,settlement_with_type,settlement_type,settlement_type_full,settlement,street_fias_id,street_kladr_id,street_with_type,street_type,street_type_full,street,house_fias_id,house_kladr_id,house_cadnum,house_type,house_type_full,house,block_type,block_type_full,block,entrance,floor,flat_fias_id,flat_cadnum,flat_type,flat_type_full,flat,flat_area,square_meter_price,flat_price,postal_box,fias_id,fias_code,fias_level,fias_actuality_state,kladr_id,capital_marker,okato,oktmo,tax_office,tax_office_legal,timezone,geo_lat,geo_lon,beltway_hit,beltway_distance,qc_geo,qc_complete,qc_house,qc,unparsed_parts,metro,med_id_1,med_id_1_division_data_id,med_id_1_name_full,med_id_1_name_short,med_id_1_division_name,med_id_1_division_house_fias,med_id_1_division_house_geo_lat,med_id_1_division_house_geo_lot,med_id_1_division_qc_geo,med_id_1_division_type,med_id_1_division_zone,,uchastok
×åëÿáèíñê ×åëÿáèíñê Êóð÷àòîâà 23 ,ã ×åëÿáèíñê, óëèöà Êóð÷àòîâà,23,454020,Ðîññèÿ,RU,Óðàëüñêèé,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,×åëÿáèíñêàÿ îáë,îáë,îáëàñòü,×åëÿáèíñêàÿ,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,ã ×åëÿáèíñê,ã,ãîðîä,×åëÿáèíñê,,,,ð-í Öåíòðàëüíûé,ð-í,ðàéîí,Öåíòðàëüíûé,,,,,,,aff50ff7-d7ea-47b5-ac27-dc195abc07ee,"7,40000010000496E+016",óëèöà Êóð÷àòîâà,óë,óëèöà,Êóð÷àòîâà,9c3537bb-5256-4b6d-a1f3-14ad2c8aab58,"7,40000010000496E+018",,ä,äîì,23,,,,,,,,,,,,51034,,,9c3537bb-5256-4b6d-a1f3-14ad2c8aab58,"7,4000001E+022",8,0,"7,40000010000496E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1512184,61.3844596,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ÃÀÓÇ ÎÒÊÇ ""ÃÊÁ ¹ 1 ã. ×åëÿáèíñê""",ÃÊÁ 1 ×åëÿáèíñêà,Ïîëèêëèíèêà 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Ïîëèêëèíè÷åñêàÿ ïîìîùü (âçðîñëàÿ),12
×åëÿáèíñê ×åëÿáèíñê Êóð÷àòîâà 24 ,ã ×åëÿáèíñê, óëèöà Êóð÷àòîâà,24,454020,Ðîññèÿ,RU,Óðàëüñêèé,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,×åëÿáèíñêàÿ îáë,îáë,îáëàñòü,×åëÿáèíñêàÿ,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,ã ×åëÿáèíñê,ã,ãîðîä,×åëÿáèíñê,,,,ð-í Öåíòðàëüíûé,ð-í,ðàéîí,Öåíòðàëüíûé,,,,,,,aff50ff7-d7ea-47b5-ac27-dc195abc07ee,"7,40000010000496E+016",óëèöà Êóð÷àòîâà,óë,óëèöà,Êóð÷àòîâà,c5dead12-bb57-4e40-a251-c0b2c636b3c5,"7,40000010000496E+018",,ä,äîì,24,,,,,,,,,,,,53113,,,c5dead12-bb57-4e40-a251-c0b2c636b3c5,"7,4000001E+022",8,0,"7,40000010000496E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1517281,61.3877766,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ÃÀÓÇ ÎÒÊÇ ""ÃÊÁ ¹ 1 ã. ×åëÿáèíñê""",ÃÊÁ 1 ×åëÿáèíñêà,Ïîëèêëèíèêà 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Ïîëèêëèíè÷åñêàÿ ïîìîùü (âçðîñëàÿ),12
×åëÿáèíñê ×åëÿáèíñê Êóð÷àòîâà 25 ,ã ×åëÿáèíñê, óëèöà Êóð÷àòîâà,25,454020,Ðîññèÿ,RU,Óðàëüñêèé,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,×åëÿáèíñêàÿ îáë,îáë,îáëàñòü,×åëÿáèíñêàÿ,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,ã ×åëÿáèíñê,ã,ãîðîä,×åëÿáèíñê,,,,ð-í Öåíòðàëüíûé,ð-í,ðàéîí,Öåíòðàëüíûé,,,,,,,aff50ff7-d7ea-47b5-ac27-dc195abc07ee,"7,40000010000496E+016",óëèöà Êóð÷àòîâà,óë,óëèöà,Êóð÷àòîâà,e75a22c7-dced-4f78-92e8-b218ee82b690,"7,40000010000496E+018",,ä,äîì,25,,,,,,,,,,,,73415,,,e75a22c7-dced-4f78-92e8-b218ee82b690,"7,4000001E+022",8,0,"7,40000010000496E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1516378,61.3834958,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ÃÀÓÇ ÎÒÊÇ ""ÃÊÁ ¹ 1 ã. ×åëÿáèíñê""",ÃÊÁ 1 ×åëÿáèíñêà,Ïîëèêëèíèêà 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Ïîëèêëèíè÷åñêàÿ ïîìîùü (âçðîñëàÿ),12
×åëÿáèíñê ×åëÿáèíñê Âîðîâñêîãî 26 ,ã ×åëÿáèíñê, óëèöà Âîðîâñêîãî,26,454020,Ðîññèÿ,RU,Óðàëüñêèé,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,×åëÿáèíñêàÿ îáë,îáë,îáëàñòü,×åëÿáèíñêàÿ,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,ã ×åëÿáèíñê,ã,ãîðîä,×åëÿáèíñê,,,,ð-í Öåíòðàëüíûé,ð-í,ðàéîí,Öåíòðàëüíûé,,,,,,,e11d005a-adef-4f6a-8db8-8b3073f8ebc2,"7,40000010000188E+016",óëèöà Âîðîâñêîãî,óë,óëèöà,Âîðîâñêîãî,de5e9cd1-da14-4e6f-a964-a84100536403,"7,40000010000188E+018",,ä,äîì,26,,,,,,,,,,,,,,,de5e9cd1-da14-4e6f-a964-a84100536403,"7,4000001E+022",8,0,"7,40000010000188E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1517259,61.3889142,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ÃÀÓÇ ÎÒÊÇ ""ÃÊÁ ¹ 1 ã. ×åëÿáèíñê""",ÃÊÁ 1 ×åëÿáèíñêà,Ïîëèêëèíèêà 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Ïîëèêëèíè÷åñêàÿ ïîìîùü (âçðîñëàÿ),12
×åëÿáèíñê ×åëÿáèíñê Âîðîâñêîãî 30 ,ã ×åëÿáèíñê, óëèöà Âîðîâñêîãî,30,454020,Ðîññèÿ,RU,Óðàëüñêèé,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,×åëÿáèíñêàÿ îáë,îáë,îáëàñòü,×åëÿáèíñêàÿ,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,ã ×åëÿáèíñê,ã,ãîðîä,×åëÿáèíñê,,,,ð-í Öåíòðàëüíûé,ð-í,ðàéîí,Öåíòðàëüíûé,,,,,,,e11d005a-adef-4f6a-8db8-8b3073f8ebc2,"7,40000010000188E+016",óëèöà Âîðîâñêîãî,óë,óëèöà,Âîðîâñêîãî,f4145dd1-5c8d-4a21-9e33-2f7cfdee374b,"7,40000010000188E+018",,ä,äîì,30,,,,,,,,,,,,,,,f4145dd1-5c8d-4a21-9e33-2f7cfdee374b,"7,4000001E+022",8,0,"7,40000010000188E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1507192,61.3861206,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ÃÀÓÇ ÎÒÊÇ ""ÃÊÁ ¹ 1 ã. ×åëÿáèíñê""",ÃÊÁ 1 ×åëÿáèíñêà,Ïîëèêëèíèêà 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Ïîëèêëèíè÷åñêàÿ ïîìîùü (âçðîñëàÿ),12
×åëÿáèíñê ×åëÿáèíñê Âîðîâñêîãî 32 ,ã ×åëÿáèíñê, óëèöà Âîðîâñêîãî,32,454020,Ðîññèÿ,RU,Óðàëüñêèé,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,×åëÿáèíñêàÿ îáë,îáë,îáëàñòü,×åëÿáèíñêàÿ,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,ã ×åëÿáèíñê,ã,ãîðîä,×åëÿáèíñê,,,,ð-í Öåíòðàëüíûé,ð-í,ðàéîí,Öåíòðàëüíûé,,,,,,,e11d005a-adef-4f6a-8db8-8b3073f8ebc2,"7,40000010000188E+016",óëèöà Âîðîâñêîãî,óë,óëèöà,Âîðîâñêîãî,390838f0-e836-4097-8cde-e0b61bde45fb,"7,40000010000188E+018",,ä,äîì,32,,,,,,,,,,,,50968,,,390838f0-e836-4097-8cde-e0b61bde45fb,"7,4000001E+022",8,0,"7,40000010000188E+018",2,75401386000,75701390,7453,7453,UTC+5,55.150197,61.386255,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ÃÀÓÇ ÎÒÊÇ ""ÃÊÁ ¹ 1 ã. ×åëÿáèíñê""",ÃÊÁ 1 ×åëÿáèíñêà,Ïîëèêëèíèêà 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Ïîëèêëèíè÷åñêàÿ ïîìîùü (âçðîñëàÿ),12
×åëÿáèíñê ×åëÿáèíñê Âîðîâñêîãî 34 ,ã ×åëÿáèíñê, óëèöà Âîðîâñêîãî,34,454020,Ðîññèÿ,RU,Óðàëüñêèé,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,×åëÿáèíñêàÿ îáë,îáë,îáëàñòü,×åëÿáèíñêàÿ,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,ã ×åëÿáèíñê,ã,ãîðîä,×åëÿáèíñê,,,,ð-í Öåíòðàëüíûé,ð-í,ðàéîí,Öåíòðàëüíûé,,,,,,,e11d005a-adef-4f6a-8db8-8b3073f8ebc2,"7,40000010000188E+016",óëèöà Âîðîâñêîãî,óë,óëèöà,Âîðîâñêîãî,b6e9ac94-863a-4cd4-9963-f86553317d2e,"7,40000010000188E+018",,ä,äîì,34,,,,,,,,,,,,67857,,,b6e9ac94-863a-4cd4-9963-f86553317d2e,"7,4000001E+022",8,0,"7,40000010000188E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1496999,61.3855542,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ÃÀÓÇ ÎÒÊÇ ""ÃÊÁ ¹ 1 ã. ×åëÿáèíñê""",ÃÊÁ 1 ×åëÿáèíñêà,Ïîëèêëèíèêà 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Ïîëèêëèíè÷åñêàÿ ïîìîùü (âçðîñëàÿ),12
×åëÿáèíñê ×åëÿáèíñê Âîðîâñêîãî 36 ,ã ×åëÿáèíñê, óëèöà Âîðîâñêîãî,36,454020,Ðîññèÿ,RU,Óðàëüñêèé,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,×åëÿáèíñêàÿ îáë,îáë,îáëàñòü,×åëÿáèíñêàÿ,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,ã ×åëÿáèíñê,ã,ãîðîä,×åëÿáèíñê,,,,ð-í Öåíòðàëüíûé,ð-í,ðàéîí,Öåíòðàëüíûé,,,,,,,e11d005a-adef-4f6a-8db8-8b3073f8ebc2,"7,40000010000188E+016",óëèöà Âîðîâñêîãî,óë,óëèöà,Âîðîâñêîãî,71844e30-5f89-4628-a9c2-23a63040d5ba,"7,40000010000188E+018",,ä,äîì,36,,,,,,,,,,,,,,,71844e30-5f89-4628-a9c2-23a63040d5ba,"7,4000001E+022",8,0,"7,40000010000188E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1492533,61.3846711,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ÃÀÓÇ ÎÒÊÇ ""ÃÊÁ ¹ 1 ã. ×åëÿáèíñê""",ÃÊÁ 1 ×åëÿáèíñêà,Ïîëèêëèíèêà 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Ïîëèêëèíè÷åñêàÿ ïîìîùü (âçðîñëàÿ),12
×åëÿáèíñê ×åëÿáèíñê Âîðîâñêîãî 38 ,ã ×åëÿáèíñê, óëèöà Âîðîâñêîãî,38,454020,Ðîññèÿ,RU,Óðàëüñêèé,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,×åëÿáèíñêàÿ îáë,îáë,îáëàñòü,×åëÿáèíñêàÿ,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,ã ×åëÿáèíñê,ã,ãîðîä,×åëÿáèíñê,,,,ð-í Öåíòðàëüíûé,ð-í,ðàéîí,Öåíòðàëüíûé,,,,,,,e11d005a-adef-4f6a-8db8-8b3073f8ebc2,"7,40000010000188E+016",óëèöà Âîðîâñêîãî,óë,óëèöà,Âîðîâñêîãî,b35f654b-b79f-42f0-ad61-c21a23ba86db,"7,40000010000188E+018",,ä,äîì,38,,,,,,,,,,,,,,,b35f654b-b79f-42f0-ad61-c21a23ba86db,"7,4000001E+022",8,0,"7,40000010000188E+018",2,75401386000,75701390,7453,7453,UTC+5,55.1487743,61.3842639,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ÃÀÓÇ ÎÒÊÇ ""ÃÊÁ ¹ 1 ã. ×åëÿáèíñê""",ÃÊÁ 1 ×åëÿáèíñêà,Ïîëèêëèíèêà 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Ïîëèêëèíè÷åñêàÿ ïîìîùü (âçðîñëàÿ),12
×åëÿáèíñê ×åëÿáèíñê Âîðîâñêîãî 30À,ã ×åëÿáèíñê, óëèöà Âîðîâñêîãî,30À,454020,Ðîññèÿ,RU,Óðàëüñêèé,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,×åëÿáèíñêàÿ îáë,îáë,îáëàñòü,×åëÿáèíñêàÿ,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,ã ×åëÿáèíñê,ã,ãîðîä,×åëÿáèíñê,,,,ð-í Öåíòðàëüíûé,ð-í,ðàéîí,Öåíòðàëüíûé,,,,,,,e11d005a-adef-4f6a-8db8-8b3073f8ebc2,"7,40000010000188E+016",óëèöà Âîðîâñêîãî,óë,óëèöà,Âîðîâñêîãî,d35653f2-ff7f-4771-b8d2-60bd1938ec7b,"7,40000010000188E+018",,ä,äîì,30À,,,,,,,,,,,,,,,d35653f2-ff7f-4771-b8d2-60bd1938ec7b,"7,4000001E+022",8,0,"7,40000010000188E+018",2,75401386000,75701390,7453,7453,UTC+5,55.151147,61.387875,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ÃÀÓÇ ÎÒÊÇ ""ÃÊÁ ¹ 1 ã. ×åëÿáèíñê""",ÃÊÁ 1 ×åëÿáèíñêà,Ïîëèêëèíèêà 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Ïîëèêëèíè÷åñêàÿ ïîìîùü (âçðîñëàÿ),12
×åëÿáèíñê ×åëÿáèíñê Âîðîâñêîãî 34À,ã ×åëÿáèíñê, óëèöà Âîðîâñêîãî,34À,454020,Ðîññèÿ,RU,Óðàëüñêèé,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,×åëÿáèíñêàÿ îáë,îáë,îáëàñòü,×åëÿáèíñêàÿ,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,ã ×åëÿáèíñê,ã,ãîðîä,×åëÿáèíñê,,,,ð-í Öåíòðàëüíûé,ð-í,ðàéîí,Öåíòðàëüíûé,,,,,,,e11d005a-adef-4f6a-8db8-8b3073f8ebc2,"7,40000010000188E+016",óëèöà Âîðîâñêîãî,óë,óëèöà,Âîðîâñêîãî,9090c3a9-7c78-4608-b34c-f4238d440cd6,"7,40000010000188E+018",,ä,äîì,34À,,,,,,,,,,,,47826,,,9090c3a9-7c78-4608-b34c-f4238d440cd6,"7,4000001E+022",8,0,"7,40000010000188E+018",2,75401386000,75701390,7453,7453,UTC+5,55.150437,61.385369,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ÃÀÓÇ ÎÒÊÇ ""ÃÊÁ ¹ 1 ã. ×åëÿáèíñê""",ÃÊÁ 1 ×åëÿáèíñêà,Ïîëèêëèíèêà 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Ïîëèêëèíè÷åñêàÿ ïîìîùü (âçðîñëàÿ),12
×åëÿáèíñê ×åëÿáèíñê Âîðîâñêîãî 38À,ã ×åëÿáèíñê, óëèöà Âîðîâñêîãî,38À,454020,Ðîññèÿ,RU,Óðàëüñêèé,27eb7c10-a234-44da-a59c-8b1f864966de,7400000000000,RU-CHE,×åëÿáèíñêàÿ îáë,îáë,îáëàñòü,×åëÿáèíñêàÿ,,,,,,,a376e68d-724a-4472-be7c-891bdb09ae32,7400000100000,ã ×åëÿáèíñê,ã,ãîðîä,×åëÿáèíñê,,,,ð-í Öåíòðàëüíûé,ð-í,ðàéîí,Öåíòðàëüíûé,,,,,,,e11d005a-adef-4f6a-8db8-8b3073f8ebc2,"7,40000010000188E+016",óëèöà Âîðîâñêîãî,óë,óëèöà,Âîðîâñêîãî,e68d376b-13c5-42ae-956a-1ef188e77689,"7,40000010000188E+018",,ä,äîì,38À,,,,,,,,,,,,,,,e68d376b-13c5-42ae-956a-1ef188e77689,"7,4000001E+022",8,0,"7,40000010000188E+018",2,75401386000,75701390,7453,7453,UTC+5,55.14838,61.383137,,,0,5,2,0,,,77067159,1.2.643.5.1.13.13.12.2.74.7554.0.443451,"ÃÀÓÇ ÎÒÊÇ ""ÃÊÁ ¹ 1 ã. ×åëÿáèíñê""",ÃÊÁ 1 ×åëÿáèíñêà,Ïîëèêëèíèêà 1,e92a576a-4304-4e91-ad33-f61b90b4eff9,55.1545814,61.3919103,0,Ïîëèêëèíè÷åñêàÿ ïîìîùü (âçðîñëàÿ),12
